SeneddConstituencyCode,SeneddConstituencyName,SeneddConstituencyNameWelsh,SeneddConstituencyNameEnglish
W09000001,Ynys Môn,Ynys Môn,Isle of Anglesey
W09000002,Arfon,Arfon,Arfon
W09000003,Aberconwy,Aberconwy,Aberconwy
W09000004,Clwyd West,Gorllewin Clwyd,Clwyd West
W09000005,Vale of Clwyd,Dyffryn Clwyd,Vale of Clwyd
W09000006,Delyn,Delyn,Delyn
W09000007,Alyn and Deeside,Alun a Glannau Dyfrdwy,Alyn and Deeside
W09000008,Wrexham,Wrecsam,Wrexham
W09000009,Clwyd South,De Clwyd,Clwyd South
W09000010,Dwyfor Meirionnydd,Dwyfor Meirionnydd,Dwyfor Meirionnydd
W09000011,Montgomeryshire,Sir Drefaldwyn,Montgomeryshire
W09000012,Ceredigion,Ceredigion,Ceredigion
W09000014,Preseli Pembrokeshire,Preseli Sir Benfro,Preseli Sir Benfro 
W09000015,Carmarthen East and Dinefwr,Dwyrain Caerfyrddin a Dinefwr,Carmarthen East and Dinefwr
W09000016,Carmarthen West and South Pembrokeshire,Gorllewin Caerfyrddin a De Sir Benfro,Carmarthen West and South Pembrokeshire
W09000017,Llanelli,Llanelli,Llanelli
W09000018,Gower,Gŵyr,Gower
W09000019,Swansea West,Gorllewin Abertawe,Swansea West
W09000020,Swansea East,Dwyrain Abertawe,Swansea East
W09000021,Neath,Castell-nedd,Neath
W09000022,Aberavon,Aberafan,Aberavon
W09000023,Bridgend,Pen-y-bont ar Ogwr,Bridgend
W09000025,Rhondda,Rhondda,Rhondda
W09000026,Cynon Valley,Cwm Cynon,Cynon Valley
W09000029,Cardiff West,Gorllewin Caerdydd,Cardiff West
W09000031,Cardiff Central,Canol Caerdydd,Cardiff Central
W09000034,Monmouth,Sir Fynwy,
W09000035,Caerphilly,Caerffili,Caerphilly
W09000036,Islwyn,Islwyn,Islwyn
W09000037,Torfaen,Torfaen,Torfaen
W09000038,Blaenau Gwent,Blaenau Gwent,Blaenau Gwent
W09000039,Newport West,Gorllewin Casnewydd,Newport West
W09000040,Newport East,Dwyrain Casnewydd,Newport East
W09000041,Brecon and Radnorshire,Brycheiniog a Sir Faesyfed,Brecon and Radnorshire
W09000042,Cardiff North,Gogledd Caerdydd,Cardiff North
W09000043,Cardiff South and Penarth,De Caerdydd a Phenarth,Cardiff South and Penarth
W09000044,Merthyr Tydfil and Rhymney,Merthyr Tudful a Rhymni,Merthyr Tydfil and Rhymney
W09000045,Ogmore,Ogwr,Ogmore
W09000046,Pontypridd,Pontypridd,Pontypridd
W09000047,Vale of Glamorgan,Bro Morgannwg,Vale of Glamorgan
